2024-07-02 20:07:616 INFO  ManageBrowser :31 - Chrome Browser Launch.....
2024-07-02 20:07:547 INFO  ManageBrowser :31 - Chrome Browser Launch.....
2024-07-02 20:07:08 INFO  BankManagerLoginPage :19 - click on login [[ChromeDriver: chrome on windows (617e8d37dc670f87d8a74681c992bda4)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2024-07-02 20:07:524 INFO  OpenAccountPage :30 - click on open account[[ChromeDriver: chrome on windows (617e8d37dc670f87d8a74681c992bda4)] -> xpath: //body/div[1]/div[1]/div[2]/div[1]/div[1]/button[2]]
2024-07-02 20:07:141 INFO  OpenAccountPage :36 - Select customer[[ChromeDriver: chrome on windows (617e8d37dc670f87d8a74681c992bda4)] -> id: userSelect]
2024-07-02 20:07:327 INFO  OpenAccountPage :42 - Select currency[[ChromeDriver: chrome on windows (617e8d37dc670f87d8a74681c992bda4)] -> id: currency]
2024-07-02 20:07:456 INFO  OpenAccountPage :48 - click on button [[ChromeDriver: chrome on windows (617e8d37dc670f87d8a74681c992bda4)] -> xpath: //button[contains(text(),'Process')]]
2024-07-02 20:07:873 INFO  ManageBrowser :31 - Chrome Browser Launch.....
2024-07-02 20:07:300 INFO  CustomerLoginPage :18 - click on customer[[ChromeDriver: chrome on windows (db8aef17eebb58dc7b3fb319ceb847c0)] -> xpath: //button[contains(text(),'Customer Login')]]
2024-07-02 20:07:917 INFO  CustomerLoginPage :28 - search customer[[ChromeDriver: chrome on windows (db8aef17eebb58dc7b3fb319ceb847c0)] -> xpath: //select[@id='userSelect']]
2024-07-02 20:07:17 INFO  CustomerLoginPage :38 - click on login [[ChromeDriver: chrome on windows (db8aef17eebb58dc7b3fb319ceb847c0)] -> xpath: //button[contains(text(),'Login')]]
2024-07-02 20:07:556 INFO  AccountPage :36 - click on deoposit[[ChromeDriver: chrome on windows (db8aef17eebb58dc7b3fb319ceb847c0)] -> xpath: //div[@ng-hide='noAccount']//button[2]]
2024-07-02 20:07:151 INFO  AccountPage :42 - click on deoposit[[ChromeDriver: chrome on windows (db8aef17eebb58dc7b3fb319ceb847c0)] -> xpath: //div[@ng-hide='noAccount']//button[2]]
2024-07-02 20:07:282 INFO  AccountPage :48 - click on deoposit[[ChromeDriver: chrome on windows (db8aef17eebb58dc7b3fb319ceb847c0)] -> xpath: //div[@ng-hide='noAccount']//button[2]]
2024-07-02 20:07:314 INFO  AccountPage :86 - verify transaction [[ChromeDriver: chrome on windows (db8aef17eebb58dc7b3fb319ceb847c0)] -> xpath: //span[contains(text(),'Deposit Successful')]]
2024-07-02 20:07:164 INFO  ManageBrowser :31 - Chrome Browser Launch.....
2024-07-02 20:07:772 INFO  BankManagerLoginPage :19 - click on login [[ChromeDriver: chrome on windows (a728cfce8b3f1a15409c025674d1c344)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2024-07-02 20:07:346 INFO  AddCustomerPage :17 - click on add customer[[ChromeDriver: chrome on windows (a728cfce8b3f1a15409c025674d1c344)] -> xpath: //body/div[1]/div[1]/div[2]/div[1]/div[1]/button[1]]
2024-07-02 20:07:977 INFO  AddCustomerPage :27 - click on add name[[ChromeDriver: chrome on windows (a728cfce8b3f1a15409c025674d1c344)] -> xpath: //body/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2024-07-02 20:07:142 INFO  AddCustomerPage :37 - click on add name[[ChromeDriver: chrome on windows (a728cfce8b3f1a15409c025674d1c344)] -> xpath: //body/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[2]/input[1]]
2024-07-02 20:07:305 INFO  AddCustomerPage :47 - click on add postcode[[ChromeDriver: chrome on windows (a728cfce8b3f1a15409c025674d1c344)] -> xpath: //body/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[3]/input[1]]
2024-07-02 20:07:434 INFO  AddCustomerPage :57 - click on add button [[ChromeDriver: chrome on windows (a728cfce8b3f1a15409c025674d1c344)] -> xpath: //body/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/button[1]]
2024-07-02 20:07:965 INFO  ManageBrowser :31 - Chrome Browser Launch.....
2024-07-02 20:07:366 INFO  CustomerLoginPage :18 - click on customer[[ChromeDriver: chrome on windows (a814d531b81fd4d40593e2c14d52d1c6)] -> xpath: //button[contains(text(),'Customer Login')]]
2024-07-02 20:07:80 INFO  CustomerLoginPage :28 - search customer[[ChromeDriver: chrome on windows (a814d531b81fd4d40593e2c14d52d1c6)] -> xpath: //select[@id='userSelect']]
2024-07-02 20:07:217 INFO  CustomerLoginPage :38 - click on login [[ChromeDriver: chrome on windows (a814d531b81fd4d40593e2c14d52d1c6)] -> xpath: //button[contains(text(),'Login')]]
2024-07-02 20:07:268 INFO  CustomerLoginPage :47 - verify logout [[ChromeDriver: chrome on windows (a814d531b81fd4d40593e2c14d52d1c6)] -> xpath: //button[contains(text(),'Logout')]]
2024-07-02 20:07:745 INFO  CustomerLoginPage :58 - click on logout [[ChromeDriver: chrome on windows (a814d531b81fd4d40593e2c14d52d1c6)] -> xpath: //button[contains(text(),'Logout')]]
2024-07-02 20:07:840 INFO  CustomerLoginPage :68 - verify name [[ChromeDriver: chrome on windows (a814d531b81fd4d40593e2c14d52d1c6)] -> xpath: //label[contains(text(),'Your Name :')]]
2024-07-02 20:07:678 INFO  ManageBrowser :31 - Chrome Browser Launch.....
2024-07-02 20:07:997 INFO  ManageBrowser :31 - Chrome Browser Launch.....
2024-07-02 20:07:683 INFO  ManageBrowser :31 - Chrome Browser Launch.....
2024-07-02 20:07:397 INFO  ManageBrowser :31 - Chrome Browser Launch.....
